Line,Desc,Count
1,Col-0_1915,not in box
2,Col-0_4936,not in box
3,Cvi x Cvi,0
4,1 x Cvi,not in box
5,1 x 146,0
6,10 x 26,0
7,101 x 176,0
8,Ll-1,not in box
9,105 x 145,not in box
10,107 x 124,not in box
11,109 x 185,not in box
12,109 x 47,not in box
13,110 x 32,?
14,112 x 30,0
15,113 x 141,0
16,114 x 3,?
17,114 x 60,0
18,115 x 126,0
19,117 x 73,?
20,118 x 108,0
21,118 x 164,0
22,119 x 177,0
23,12 x 142,0
24,122 x 42,?
25,125 x 117,0
26,128 x 6,0
27,132  x  129,not in box
28,133 x 35,0
29,134 x 29,0
30,135 x 10,0
31,135 x 140,?
32,136 x 102,0
33,165 x 137,not in box
34,139 x 162,0
35,139 x 36,0
36,14 x 4,0
37,146 x 64,not in box
38,147 x 50,0
39,147 x 69,0
40,149 x 165,0
41,150 x 37,0
42,152 x 42,0
43,153 x 108,0
44,153 x 20,?
45,154 x 144,0
46,156 x 166,0
47,16 x 4,0
48,16 x 66,0
49,164 x 7,not in box
50,166 x 25,0
51,168 x 22,0
52,169 x 175,not in box
53,17 x 21,0
54,170 x 24,0
55,171 x 143,0
56,174 x 34,0
57,180 x 157,?
58,183 x 118,0
59,186 x 27,0
60,187 x 190,0
61,187 x 69,not in box
62,189 x 133,0
63,19 x 173,0
64,19 x 67,0
65,190 x 176,0
66,191 x 31,not in box
67,192 x 189,0
68,20 x 138,0
69,21 x 22,0
70,24 x 171,0
71,25 x 9,0
72,26 x 74,0
73,33  x  58,not in box
74,35 x 120,0
75,38 x 35,0
76,39 x 27,not in box
77,40 x 74,0
78,npq4,not in box
79,43 x 131,not in box
80,44 x 50,0
81,45 x 23,0
82,46 x 29,0
83,48 x 160,0
84,49 x 158,0
85,5 x 172,not in box
86,5 x 188,not in box
87,51 x 111,0
88,51 x 18,0
89,54 x 183,0
90,55 x 18,0
91,59 x 116,0
92,6 x 131,0
93,61 x 162,0
94,63 x 151,not in box
95,7 x 46,0
96,8 x 61,not in box
97,Ler x Ler,0
98,Ler self,0
99,Cvi x Ler,0
100,Ler x Cvi,0
