Line Number,Line Name,Quantity
1,Col-0,
2,cvi self,
3,1 x 146,
4,10 x 26,
5,101 x 176,
6,LL-1,
7,145 x 105,
8,107 x 121,
9,18 x 109,
10,109 x 48,
11,114 x 3,6
12,110 x 32,6
13,112 x 30,
14,115 x 12,
15,118 x 108,
16,118 x 164,
17,12 x 142,
18,122 x 42,
19,125 x 117,
20,128 x 6,
21,129 x 132,
22,133 x 35,
23,134 x 29,
24,135 x 10,
25,136 x 102,
26,165 x 137,
27,139 x 36,
28,14 x 4,
29,146 x 64,
30,147 x 50,
31,147 x 69,
32,149 x 165,
33,150 x 37,
34,152 x 42,
35,153 x 108,
36,153 x 20,6
37,156 x 106,
38,119 x 60,6
39,16 x 4,
40,16 x 66,
41,16 x 7,
42,166 x 25,
43,168 x 22,
44,17 x 21,
45,171 x 143,
46,174 x 34,
47,180 x 157,
48,186 x 27,
49,187 x 69,
50,19 x 173,
51,19 x 67,
52,190 x 176,
53,191 x 31,
54,192 x 189,
55,20 x 138,6
56,24 x 171,
57,15 x 9,
58,26 x 74,
59,33 x 58,
60,38 x 35,
61,39 x 27,
62,44 x 50,
63,45 x 23,
64,46 x 29,
65,48 x 160,
66,49 x 158,
67,5 x 172,
68,5 x 188,
69,51 x 111,
70,51 x 18,
71,54 x 183,
72,55 x 18,
73,59 x 116,
74,6 x 131,
75,61 x 162,
76,63 x 151,
77,8 x 61,
78,ler self,
79,ler,
80,cvi x ler,
81,ler x cvi,
82,npq1,
83,npq4,
84,pgr5,
85,Stn8-1,
86,Cvi-1,
87,135 x 142,6
