WL,Sun,Shade
400,2.4141531122,0.086951475
401,2.5920015185,0.0930660146
402,2.7513221675,0.0980696802
403,2.8600679369,0.1014637981
404,2.928475812,0.1033982631
405,2.9724685629,0.1042904135
406,3.0029560419,0.1047024053
407,3.0295415824,0.104941883
408,3.0674908346,0.1056319176
409,3.112849773,0.1067508942
410,3.1703607935,0.1080232619
411,3.2352183922,0.1097305352
412,3.3007975635,0.1116077615
413,3.3594724022,0.1132170118
414,3.4115623354,0.1144542104
415,3.4605918852,0.115298689
416,3.4940308063,0.1159787667
417,3.5246951941,0.1164737531
418,3.545851974,0.1165000543
419,3.5255259546,0.1146251713
420,3.5483742824,0.1147458398
421,3.5765979541,0.1150454169
422,3.6027467852,0.1155416125
423,3.6221765184,0.1155864882
424,3.6404425093,0.1157343448
425,3.6452057218,0.1152822363
426,3.6331335202,0.114735921
427,3.6124413966,0.1133694305
428,3.5816459541,0.1117461301
429,3.5578873845,0.1103384409
430,3.5471158625,0.1092719186
431,3.5571857551,0.1090793622
432,3.6131238737,0.1101419686
433,3.7073937236,0.1123237875
434,3.8197943164,0.1152318335
435,3.9347571838,0.1182908589
436,4.046126876,0.1211611749
437,4.1483427766,0.1235937657
438,4.2270598111,0.1253006902
439,4.2942470766,0.126685679
440,4.3616620166,0.1284010379
441,4.433446303,0.1299925164
442,4.5197260283,0.1321415962
443,4.606455259,0.1341828469
444,4.6909832722,0.1360868873
445,4.7711424866,0.1380380088
446,4.8406057691,0.139538323
447,4.9098884869,0.1409689091
448,4.968610301,0.1424863631
449,5.0310050449,0.1435129385
450,5.093062568,0.1444918761
451,5.1281019215,0.1447025454
452,5.1519275526,0.144622833
453,5.152384269,0.1440157686
454,5.1539358392,0.1431610491
455,5.1473555667,0.1421759156
456,5.1537406925,0.1415617111
457,5.1740184633,0.14115905
458,5.1919784663,0.1409541859
459,5.2257377917,0.140762501
460,5.2495597773,0.1408156497
461,5.2741977212,0.1407780632
462,5.2973053132,0.1406375324
463,5.3003666343,0.1401780579
464,5.3238265245,0.1397383832
465,5.3189335876,0.1390880262
466,5.3195326346,0.1383421645
467,5.316560777,0.1376180938
468,5.3162523302,0.13707988
469,5.3254061118,0.1367500857
470,5.3539073422,0.1368789472
471,5.3899475447,0.1370793674
472,5.4386485102,0.1375433553
473,5.4828733322,0.1380463474
474,5.5378201376,0.1387488906
475,5.5836297805,0.1392308694
476,5.6357097275,0.139996763
477,5.6797574584,0.140652065
478,5.7218946532,0.1413498852
479,5.7637767793,0.1415819492
480,5.796800721,0.1418191818
481,5.8170064204,0.1417222142
482,5.8102556277,0.1409728785
483,5.7844428972,0.1395251672
484,5.7267231057,0.1377841522
485,5.6569300811,0.1355709733
486,5.5958626287,0.1336237301
487,5.5555941642,0.1322670994
488,5.5461670336,0.1316350659
489,5.5787982242,0.1316702672
490,5.6296834165,0.1323849711
491,5.6949591314,0.1334649914
492,5.7581217943,0.1345034636
493,5.8166742927,0.1354556505
494,5.8652659121,0.1359341155
495,5.9086352649,0.1363961604
496,5.9353988231,0.1365074544
497,5.9411930022,0.1362053425
