TrID,TrayNotes,TrayTypeName,Position,PlantID,PlantName,PlantNotes
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,A1,2396,33:150x37_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,A2,2411,38:119x60_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,A3,2444,49:187x69_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,A4,2558,87:135x142_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,A5,2423,42:166x25_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,B1,2336,13:112x30_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,B2,2429,44:17x21_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,B3,2372,25:136x102_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,B4,2375,26:165x137_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,B5,2540,81:lerxcvi_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,C1,2471,58:26x74_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,C2,2315,6:LL-1_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,C3,2474,59:33x58_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,C4,2432,45:171x143_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,C5,2303,2:cvi self_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,D1,2417,40:16x66_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,D2,2321,8:107x121_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,D3,2387,30:147x50_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,D4,2312,5:101x176_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00001,0,standard,D5,2351,18:122x42_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,A1,2513,72:55x18_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,A2,2564,89:Spare2_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,A3,2453,52:190x176_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,A4,2360,21:129x132_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,A5,2519,74:6x131_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,B1,2498,67:5x172_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,B2,2402,35:153x108_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,B3,2456,53:191x31_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,B4,2405,36:153x20_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,B5,2408,37:156x106_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,C1,2306,3:1x146_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,C2,2366,23:134x29_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,C3,2543,82:npq1_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,C4,2465,56:24x171_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,C5,2522,75:61x162_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,D1,2483,62:44x50_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,D2,2450,51:19x67_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,D3,2333,12:110x32_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,D4,2414,39:16x4_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00002,0,standard,D5,2537,80:cvixler_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,A1,2561,88:Spare1_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,A2,2534,79:ler_R1,0
