A11	npq4
A4	npq1
C5	npq1
E12	LL-1
F1	LL-1
G10	lerxcvi
G2	lerxcvi
A5	ler self
C10	ler self
A9	ler
B3	ler
B12	cvixler
C12	cvixler
H4	cvixler
C8	cvi self
H2	cvi self
B10	Cvi-1
D12	Col-0
E10	6x131
E4	6x131
E5	6x131
G5	63x151
G4	61x162
H10	5x188
D5	5x172
B8	55x18
F9	55x18
D10	54x183
C11	51x18
C6	49x158
G8	48x160
D3	44x50
E11	44x50
F7	39x27
H12	38x35
B2	33x58
C1	26x74
B6	20x138
C3	1x146
D7	1x146
A8	19x67
G11	19x67
G3	19x67
A10	191x31
F10	190x176
H3	190x176
A2	187x69
H11	187x69
H1	187x69
D11	180x157
E1	17x21
E7	17x21
B9	174x34
D6	174x34
E2	171x143
F12	171x143
G9	16x7
F11	16x4
D9	168x22
B5	166x25
F2	166x25
D2	165x137
G7	15x9
H7	15x9
F4	156x106
C4	153x20
E6	153x20
E3	153x108
E8	153x108
G12	153x108
A1	150x37
F6	150x37
E9	149x165
F5	149x165
B7	147x69
D8	147x69
G1	147x50
C7	145x105
D4	145x105
B11	136x102
H5	136x102
C2	135x142
H8	135x10
A12	134x29
F3	134x29
C9	133x35
B4	12x142
A3	122x42
H6	122x42
B1	119x60
H9	119x60
G6	115x12
A7	112x30
F8	10x26
D1	107x121
A6	101x176
