B11	npq4
C6	npq1
E7	npq1
E12	LL-1
F1	LL-1
G2	lerxcvi
H10	lerxcvi
C7	ler self
D10	ler self
C5	ler
D5	ler
B7	cvixler
C12	cvixler
E4	cvi self
H2	cvi self
C10	Cvi-1
D12	Col-0
F10	6x131
G6	6x131
G7	6x131
A8	63x151
A4	61x162
A7	61x162
A11	5x188
F7	5x172
D3	59x116
D4	55x18
G9	55x18
D11	51x18
E8	49x158
A5	48x160
H4	48x160
F11	44x50
F5	44x50
H3	39x27
G12	38x35
B2	33x58
B1	26x74
D8	20x138
E5	1x146
F3	1x146
A6	19x67
C4	19x67
H11	19x67
B10	191x31
B6	190x176
G10	190x176
A12	187x69
H1	187x69
E11	180x157
E1	17x21
G3	17x21
C9	174x34
F8	174x34
E2	171x143
F12	171x143
H9	16x7
C2	16x66
G11	16x4
E9	168x22
B12	166x25
D7	166x25
F2	166x25
D2	165x137
B4	15x9
E10	156x106
H6	156x106
E6	153x20
G8	153x20
H8	153x20
G4	153x108
G5	153x108
H12	153x108
A1	150x37
A9	150x37
F9	149x165
H7	149x165
F4	147x69
E3	145x105
F6	145x105
A2	136x102
B8	136x102
C11	136x102
B5	135x10
H5	134x29
D9	133x35
D6	12x142
A3	122x42
B3	122x42
A10	119x60
D1	119x60
B9	115x12
C3	112x30
C1	107x121
G1	107x121
C8	101x176
