C1	Stn8-1
F6	Spare3
H4	pgr5
C2	npq4
A7	npq1
D1	ler self
G1	Col-0
H10	Col-0
E9	8x61
C5	63x151
E7	63x151
A6	61x162
E3	5x188
C6	5x172
G2	59x116
H5	59x116
A5	54x183
F11	54x183
E11	51x18
D3	51x111
G8	51x111
E1	48x160
H6	48x160
H2	45x23
B2	39x27
F5	39x27
D9	38x35
H1	38x35
G7	26x74
G9	26x74
B11	24x171
B4	20x138
E6	1x146
C11	19x173
C4	19x173
F3	192x189
B9	191x31
F10	190x176
C10	18x109
D5	18x109
D8	186x27
E2	186x27
C3	180x157
F9	180x157
A4	174x34
H3	174x34
E8	16x7
F4	16x7
D7	16x66
D11	16x4
C8	168x22
G3	168x22
B6	165x137
G10	165x137
H8	156x106
A8	152x42
B5	152x42
H9	152x42
G5	150x37
A2	14x4
D2	149x165
F7	147x50
A9	146x64
D4	146x64
H7	145x105
E10	133x35
F1	133x35
G11	129x132
B10	128x6
E4	125x117
D10	119x60
B1	118x164
A11	118x108
B3	118x108
C7	118x108
A3	115x12
F2	114x3
F8	114x3
G6	114x3
B7	110x32
C9	110x32
G4	10x26
A1	109x48
B8	109x48
E5	109x48
A10	107x121
D6	101x176
