H7	Stn8-1
A6	Spare3
G2	Spare2
F5	pgr5
A11	npq4
D4	npq4
A8	npq1
C4	LL-1
E2	LL-1
G10	LL-1
D10	lerxcvi
B4	ler self
A4	ler
F10	ler
H3	ler
C10	cvixler
A10	cvi self
D2	cvi self
D7	cvi self
F7	Col-0
A3	8x61
A5	6x131
B1	6x131
B8	6x131
B11	5x188
F3	5x188
A7	5x172
B9	59x116
G1	59x116
H4	54x183
B5	48x160
F8	48x160
H10	45x23
G4	44x50
E4	39x27
E7	39x27
D9	38x35
E3	38x35
F4	26x74
G5	1x146
A9	19x67
C7	19x67
H2	19x67
H8	19x173
H5	191x31
F1	18x109
B2	180x157
H1	17x21
B3	16x7
G7	16x7
C6	16x66
C8	16x66
E8	16x4
D1	168x22
C11	165x137
G3	156x106
G8	153x108
A2	150x37
G9	150x37
C5	149x165
F9	149x165
D8	147x69
C1	147x50
D11	147x50
D5	136x102
E1	136x102
E6	134x29
H9	134x29
E9	133x35
F6	12x142
H6	129x132
B6	128x6
C3	125x117
D6	125x117
C9	122x42
A1	119x60
B10	118x164
C2	118x108
G6	115x12
E5	110x32
F2	110x32
E10	10x26
B7	101x176
D3	101x176
