A7	Stn8-1
B3	Spare3
B4	Spare3
F5	Spare1
H2	Spare1
A9	pgr5
A5	npq1
B8	lerxcvi
D12	ler self
G2	Col-0
H7	Col-0
D5	8x61
E10	63x151
E8	61x162
G3	61x162
G9	61x162
C8	5x188
D8	59x116
C4	55x18
G12	55x18
A1	54x183
C11	54x183
E6	51x18
G11	51x111
F2	49x158
G7	49x158
C5	46x29
D3	46x29
D4	45x23
E1	45x23
H1	45x23
B11	44x50
F3	39x27
G6	38x35
C3	33x58
D10	33x58
C2	26x74
D1	24x171
A4	20x138
B9	20x138
C7	20x138
F12	1x146
G4	19x173
B10	192x189
E12	190x176
E5	190x176
G5	18x109
C6	187x69
H8	187x69
D11	186x27
D9	180x157
H10	17x21
H11	174x34
F9	171x143
A6	16x7
B6	16x4
C12	168x22
B12	166x25
H6	166x25
G8	165x137
A10	15x9
B5	15x9
E11	156x106
G1	156x106
C1	153x20
F10	153x20
H3	153x108
A12	152x42
E2	152x42
F8	150x37
E4	147x69
F4	147x69
B1	146x64
H12	146x64
B7	145x105
A11	136x102
D7	135x142
E7	135x142
A3	135x10
G10	135x10
B2	129x132
A8	122x42
H9	119x60
A2	118x164
F1	118x164
H5	118x164
C10	118x108
E3	114x3
E9	114x3
F6	114x3
D2	112x30
D6	10x26
F11	107x121
F7	107x121
C9	101x176
