D9	Stn8-1
A6	Spare3
C1	Spare2
F5	pgr5
B11	npq4
B4	npq4
E9	npq1
A1	LL-1
D4	LL-1
H10	LL-1
E10	lerxcvi
C4	ler self
A4	ler
G10	ler
H8	cvixler
E7	cvi self
F8	cvi self
G3	cvi self
B9	Col-0
E1	8x61
A5	6x131
D2	6x131
F9	6x131
B2	5x188
C11	5x188
B7	5x172
A3	59x116
G7	59x116
H4	54x183
B10	48x160
B5	48x160
A11	45x23
G4	44x50
A9	39x27
E4	39x27
A2	38x35
A8	38x35
F4	26x74
G5	1x146
D1	19x67
D7	19x67
F7	19x67
D10	19x173
H5	191x31
H2	18x109
E3	180x157
B3	17x21
C3	17x21
D3	17x21
C9	16x7
F1	16x7
C6	16x66
D6	16x66
G9	16x66
A10	16x4
F2	168x22
D11	165x137
H3	156x106
C10	153x108
D8	150x37
C5	149x165
C8	149x165
H9	147x69
E11	147x50
E2	147x50
D5	136x102
G2	136x102
E8	134x29
F6	134x29
B8	133x35
G6	12x142
A7	129x132
B6	128x6
E6	125x117
G1	125x117
H7	122x42
C2	119x60
G8	118x164
F3	118x108
H6	115x12
B1	110x32
E5	110x32
F10	10x26
C7	101x176
H1	101x176
