G8	Stn8-1
G7	Spare2
B10	Spare1
F5	pgr5
C4	npq4
F2	npq1
F7	LL-1
C6	lerxcvi
A4	ler self
C7	ler self
C5	ler
D8	ler
D4	cvixler
B2	Col-0
H4	63x151
C3	61x162
F3	5x188
D1	55x18
E8	55x18
F8	54x183
G3	51x18
A2	46x29
H8	46x29
H2	45x23
B6	44x50
A6	39x27
A3	38x35
D9	33x58
E1	26x74
H9	24x171
G1	20x138
D2	19x67
F9	19x67
E5	19x173
H7	191x31
B4	190x176
A8	18x109
B5	18x109
A9	187x69
D7	174x34
D5	171x143
F1	171x143
G9	16x7
H6	16x7
A5	16x66
B1	16x66
C9	168x22
H1	168x22
A7	165x137
B8	156x106
E7	156x106
H5	153x108
F4	152x42
E6	14x4
E4	149x165
E9	149x165
B9	147x69
C2	147x69
F6	147x69
A1	147x50
G2	146x64
H3	146x64
C1	145x105
C8	139x36
D6	135x10
E2	133x35
B7	122x42
A10	119x60
G5	119x60
B3	118x108
G4	115x12
D3	10x26
E3	109x48
G6	109x48
