B10	Stn8-1
C6	pgr5
D6	pgr5
G4	npq4
A3	npq1
F8	LL-1
G8	LL-1
A7	lerxcvi
C8	ler self
F1	ler self
F9	ler
H5	ler
H4	cvixler
E1	cvi self
F4	Cvi-1
G3	Cvi-1
D2	Col-0
E5	63x151
C1	5x188
G9	55x18
H9	55x18
A10	54x183
D1	51x18
C10	46x29
C2	46x29
C3	45x23
D3	45x23
H6	44x50
G6	39x27
E3	38x35
F3	38x35
C11	33x58
E4	26x74
G11	24x171
H11	24x171
A2	20x138
E11	19x67
F2	19x67
G2	19x67
B6	19x173
H3	192x189
A9	191x31
G1	190x176
H1	190x176
B9	18x109
G5	18x109
D10	187x69
E10	187x69
D8	174x34
A6	171x143
F11	16x7
H7	16x7
B4	16x66
F5	16x66
A11	168x22
B11	168x22
B2	168x22
A8	165x137
C9	156x106
D9	156x106
E8	156x106
H8	156x106
F6	153x108
C5	152x42
D7	14x4
A5	149x165
B5	149x165
D11	149x165
E2	147x69
F10	147x69
F7	147x69
G10	147x69
A4	147x50
B3	146x64
C4	145x105
E9	139x36
B7	135x10
C7	135x10
D4	134x29
H2	133x35
B8	122x42
A12	119x60
E6	119x60
D5	115x12
A1	10x26
B1	109x48
G7	109x48
E7	107x121
