F5	Stn8-1
E3	Spare2
F7	pgr5
E6	npq1
G8	npq1
D1	LL-1
A2	lerxcvi
D9	lerxcvi
B7	ler self
B3	ler
H1	cvixler
B4	cvi self
B9	cvi self
F1	Cvi-1
H4	Col-0
G4	6x131
A7	63x151
C5	61x162
A5	5x188
A3	5x172
F8	5x172
C8	59x116
F6	59x116
C4	54x183
D2	54x183
H6	51x18
A9	49x158
F4	48x160
G3	33x58
D3	24x171
D8	1x146
G6	192x189
H3	192x189
B2	191x31
C7	190x176
E1	18x109
E2	186x27
G5	186x27
D4	16x4
C2	165x137
D5	15x9
A1	153x20
H2	153x108
C3	152x42
A6	150x37
B8	14x4
F3	149x165
D7	147x50
E8	146x64
H5	146x64
C1	139x36
E5	136x102
F2	136x102
G2	135x142
B6	134x29
C6	134x29
C9	134x29
H8	12x142
A8	125x117
B1	118x164
B5	118x164
E4	118x108
G1	110x32
A4	10x26
G7	10x26
H7	109x48
E7	107x121
D6	101x176
