TrID,TrayNotes,TrayTypeName,Position,PlantID,PlantName,PlantNotes
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1A1,1,Col-0 01,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1A3,2,Col-0 02,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1A5,3,Col-0 03,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1B1,4,Col-0 04,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1B3,5,Col-0 05,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1B5,6,Col-0 06,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1C1,7,Col-0 07,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1C3,8,Col-0 08,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1C5,9,Col-0 09,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1D1,10,Col-0 10,
Pr_2013-0014_Exp_0001_Ath_Tr_00001,,standard,1D3,11,Col-0 11,
