Genotype,Plate,PlatePos,Chamber,TrayPos
Ler,3,D1,2,8a4
Ler,6,B4,5,10b2
Ler,2,C7,5,1a1
Ler,8,C4,5,10b2
Ler,2,D10,4,1d4
Ler,9,B7,4,5e4
Ler,12,C8,2,14d2
Ler,4,D1,2,8a4
Ler,7,D12,2,5c2
Ler,5,B12,2,5c2
Ler,11,F9,4,5e4
Ler,12,F1,5,14d2
Ler,10,C7,2,14d2
Ler,10,A4,5,14d2
Col,7,G2,4,5a1
Col,7,H7,5,4e3
Col,3,G1,2,8b4
Col,3,H10,5,9d1
Col,12,D2,5,13b1
Col,5,F7,5,4e3
Col,6,F7,2,10a3
Col,2,D12,4,2d4
Col,11,C6,2,6d4
Col,4,G1,2,8b4
Col,10,B2,5,13b1
Col,9,H4,2,6d4
Col,11,D6,2,6d4
Col,5,G2,4,5a1
Cvi,6,D2,4,10e3
Cvi,9,B9,4,7c1
Cvi,8,F8,2,11d4
Cvi,8,G3,4,10e3
Cvi,11,F5,2,6a3
Cvi,8,B5,5,10e2
Cvi,9,B4,2,6a3
Cvi,12,E1,5,14c3
Cvi,6,D7,5,12d2
Cvi,2,H2,2,1e3
Cvi,2,E4,5,2d1
Cvi,11,C8,4,7a1
Cvi,8,E7,5,12d2
Cvi,6,A10,2,11d4
