conditions,treatment,sample,chamber,trayPos,paired,notes,sampleNum
Sufficient,0HR,Col,4,13B1,yes,,1
Sufficient,0HR,Col,4,5A1,yes,,2
Sufficient,0HR,Col,4,9D1,no,,3
Sufficient,1hHL,Col,4,13B1,yes,,4
Sufficient,1hHL,Col,4,5A1,yes,,5
Sufficient,1hHL,Col,4,2D4,no,,6
Fluctuating,0HR,Col,2,10A3,yes,,7
Fluctuating,0HR,Col,2,8B4,yes,,8
Fluctuating,0HR,Col,2,6D4,yes,,9
Fluctuating,1hHL,Col,2,10A3,yes,8B9,10
Fluctuating,1hHL,Col,2,8B4,yes,,11
Fluctuating,1hHL,Col,2,6D4,yes,,12
Excess,0HR,Col,5,13B1,yes,,13
Excess,0HR,Col,5,4000,yes,,14
Excess,0HR,Col,5,9D1,yes,,15
Excess,1hHL,Col,5,13B1,yes,,16
Excess,1hHL,Col,5,4000,yes,,17
Excess,1hHL,Col,5,9d1,yes,4H10,18
