Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
1	administrator	22/07/2013	6:00 PM	1645.05	41.126	18.945	2.17	2.34	40.00	230	17.557	0.698
3	administrator	22/07/2013	6:01 PM	986.13	24.653	11.284	2.18	2.40	40.00	230	10.271	-0.317
2	administrator	22/07/2013	6:03 PM	775.00	19.375	8.812	2.20	2.44	40.00	230	7.942	-0.123
4	administrator	22/07/2013	6:05 PM	2014.85	50.371	23.275	2.16	2.36	40.00	230	21.308	-1.797
5	administrator	22/07/2013	6:08 PM	1176.14	29.403	13.380	2.20	2.44	40.00	230	12.074	-4.024
6	administrator	22/07/2013	6:09 PM	863.58	21.589	9.733	2.22	2.51	40.00	230	8.595	-4.086
7	administrator	22/07/2013	6:09 PM	1391.67	34.792	15.880	2.19	2.38	40.00	230	14.591	-2.233
8	administrator	22/07/2013	6:10 PM	1031.34	25.783	11.790	2.19	2.25	40.00	230	11.467	-3.989
9	administrator	22/07/2013	6:10 PM	2526.48	63.162	29.518	2.14	2.32	40.00	230	27.273	-0.355
10	administrator	22/07/2013	6:11 PM	1379.89	34.497	15.788	2.18	1.86	40.00	230	18.527	-2.006
11	administrator	22/07/2013	6:14 PM	1436.65	35.916	16.474	2.18	1.16	40.00	230	31.032	1.496
12	administrator	22/07/2013	6:15 PM	1158.71	28.968	14.157	2.05	1.74	40.00	230	16.629	39.957
13	administrator	22/07/2013	6:15 PM	1766.30	44.157	20.245	2.18	2.38	40.00	230	18.578	-2.378
14	administrator	22/07/2013	6:16 PM	740.00	18.500	8.452	2.19	2.53	40.00	230	7.314	-2.724
15	administrator	22/07/2013	6:17 PM	2758.28	68.957	33.443	2.06	1.93	40.00	230	35.769	1.698
16	administrator	22/07/2013	6:18 PM	1138.11	28.453	12.950	2.20	2.49	40.00	230	11.433	-3.961
17.	administrator	22/07/2013	6:19 PM	1783.07	44.577	20.551	2.17	2.38	40.00	230	18.729	-2.919
18	administrator	22/07/2013	6:31 PM	523.62	13.091	6.084	2.15	2.31	40.00	230	5.679	-2.636
Pete's Tris	administrator	22/07/2013	6:32 PM	1.64	0.041	0.006	6.53	2.19	40.00	230	0.019	0.091
