Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
1	Default	24/07/2013	11:29 AM	219.30	4.386	2.084	2.11	2.24	50.00	230	1.955	0.016
3	Default	24/07/2013	11:30 AM	304.06	6.081	2.840	2.14	2.30	50.00	230	2.639	0.024
2	Default	24/07/2013	11:31 AM	221.63	4.433	2.078	2.13	2.21	50.00	230	2.009	0.049
4	Default	24/07/2013	11:32 AM	245.58	4.912	2.346	2.09	2.26	50.00	230	2.171	0.028
5	Default	24/07/2013	11:33 AM	226.52	4.530	2.114	2.14	2.27	50.00	230	2.000	0.035
6	Default	24/07/2013	11:34 AM	252.54	5.051	2.372	2.13	2.31	50.00	230	2.182	0.005
7	Default	24/07/2013	11:34 AM	247.80	4.956	2.321	2.13	2.25	50.00	230	2.198	0.031
8	Default	24/07/2013	11:35 AM	233.89	4.678	2.206	2.12	2.14	50.00	230	2.190	0.042
9	Default	24/07/2013	11:36 AM	93.51	1.870	0.903	2.07	2.07	50.00	230	0.903	0.013
10	Default	24/07/2013	11:39 AM	368.01	7.360	3.465	2.12	1.89	50.00	230	3.902	0.009
12	Default	24/07/2013	11:39 AM	228.26	4.565	2.148	2.12	2.27	50.00	230	2.008	0.029
13	Default	24/07/2013	11:40 AM	192.94	3.859	1.835	2.10	2.23	50.00	230	1.731	0.019
14	Default	24/07/2013	11:41 AM	231.90	4.638	2.166	2.14	2.32	50.00	230	1.995	0.040
15	Default	24/07/2013	11:42 AM	95.87	1.917	0.925	2.07	2.00	50.00	230	0.957	0.013
16	Default	24/07/2013	11:43 AM	231.60	4.632	2.183	2.12	2.30	50.00	230	2.010	0.037
17	Default	24/07/2013	11:43 AM	147.87	2.957	1.395	2.12	2.21	50.00	230	1.339	0.020
18	Default	24/07/2013	11:44 AM	215.89	4.318	2.031	2.13	2.12	50.00	230	2.033	0.054
11	Default	24/07/2013	11:44 AM	227.65	4.553	2.138	2.13	1.08	50.00	230	4.213	0.027
