Index,(2)A1:Size (bp),(2)A1:Intensity (mV),(3)B1:Size (bp),(3)B1:Intensity (mV),(4)C1:Size (bp),(4)C1:Intensity (mV),(5)D1:Size (bp),(5)D1:Intensity (mV)
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.01
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
17,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.01
18,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.04
19,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.03
20,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.03
21,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00
22,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00
23,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00
24,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
25,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
26,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
28,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
29,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00
