Line,Desc,Count,Line,Desc,Count
1,Col-0_1915,not in box,51,168 x 22,not in box
2,Col-0_4936,not in box,52,169 x 175,not in box
3,Cvi x Cvi,not in box,53,17 x 21,not in box
4,1 x Cvi,not in box,54,170 x 24,not in box
5,1 x 146,not in box,55,171 x 143,not in box
6,10 x 26,not in box,56,174 x 34,not in box
7,101 x 176,not in box,57,180 x 157,not in box
8,Ll-1,not in box,58,183 x 118,not in box
9,105 x 145,not in box,59,186 x 27,not in box
10,107 x 124,not in box,60,187 x 190,not in box
11,109 x 185,not in box,61,187 x 69,not in box
12,109 x 47,not in box,62,189 x 133,not in box
13,110 x 32,not in box,63,19 x 173,not in box
14,112 x 30,not in box,64,19 x 67,not in box
15,113 x 141,not in box,65,190 x 176,not in box
16,114 x 3,not in box,66,191 x 31,not in box
17,114 x 60,not in box,67,192 x 189,not in box
18,115 x 126,not in box,68,20 x 138,not in box
19,117 x 73,not in box,69,21 x 22,not in box
20,118 x 108,not in box,70,24 x 171,not in box
21,118 x 164,not in box,71,25 x 9,not in box
22,119 x 177,not in box,72,26 x 74,not in box
23,12 x 142,not in box,73,33  x  58,not in box
24,122 x 42,not in box,74,35 x 120,not in box
25,125 x 117,not in box,75,38 x 35,not in box
26,128 x 6,not in box,76,39 x 27,not in box
27,132  x  129,not in box,77,40 x 74,not in box
28,133 x 35,not in box,78,npq4,not in box
29,134 x 29,not in box,79,43 x 131,not in box
30,135 x 10,not in box,80,44 x 50,not in box
31,135 x 140,not in box,81,45 x 23,not in box
32,136 x 102,not in box,82,46 x 29,not in box
33,165 x 137,not in box,83,48 x 160,not in box
34,139 x 162,not in box,84,49 x 158,not in box
35,139 x 36,not in box,85,5 x 172,not in box
36,14 x 4,not in box,86,5 x 188,not in box
37,146 x 64,not in box,87,51 x 111,not in box
38,147 x 50,not in box,88,51 x 18,not in box
39,147 x 69,not in box,89,54 x 183,not in box
40,149 x 165,not in box,90,55 x 18,not in box
41,150 x 37,not in box,91,59 x 116,not in box
42,152 x 42,not in box,92,6 x 131,not in box
43,153 x 108,not in box,93,61 x 162,not in box
44,153 x 20,not in box,94,63 x 151,not in box
45,154 x 144,not in box,95,7 x 46,not in box
46,156 x 166,not in box,96,8 x 61,not in box
47,16 x 4,not in box,97,Ler x Ler,not in box
48,16 x 66,not in box,98,Ler self,not in box
49,164 x 7,not in box,99,Cvi x Ler,not in box
50,166 x 25,not in box,100,Ler x Cvi,not in box
